OrderID,LineID,OrderDate,ShipDate,CustomerName,ShipState,Region,SKU,ProductName,Category,Quantity,UnitPrice,UnitDiscount,UnitCOGS,Shipping,Tax,SalesChannel,PaymentMethod,OrderStatus
SO-2025-10000,1,04/13/2025,2025-04-14,Customer 0,PA,Northeast,SKU0,Product 0,Wellness,4,$95.56,$9.56,$53.13,$1.56,$22.93,Website,Visa,Shipped
SO-2025-10001,2,08/03/2025,2025-08-07,Customer 1,PA,Northeast,SKU1,Product 1,Pets,3,$51.33,$0.0,$26.7,$6.51,$9.24,Amazon,Visa,Shipped
SO-2025-10002,3,11/05/2025,2025-11-09,Customer 2,PA,South,SKU2,Product 2,Baby,2,$74.98,$3.75,$33.18,$9.92,$9.0,Instagram,PayPal,Shipped
SO-2025-10003,4,06/10/2025,2025-06-11,Customer 3,WA,South,SKU3,Product 3,Pets,4,$65.05,$0.0,$31.64,$5.25,$15.61,Amazon,Visa,Returned
SO-2025-10004,5,06/19/2025,2025-06-21,Customer 4,AZ,Midwest,SKU4,Product 4,Home & Kitchen,4,$36.29,$5.44,$16.21,$7.85,$8.71,Website,PayPal,Returned
SO-2025-10005,6,02/20/2025,2025-02-21,Customer 5,IL,Midwest,SKU5,Product 5,Baby,4,$56.28,$8.44,$27.77,$6.08,$13.51,Website,Mastercard,Shipped
SO-2025-10006,7,01/21/2025,2025-01-23,Customer 6,PA,West,SKU6,Product 6,Home & Kitchen,1,$15.85,$2.38,$9.33,$8.08,$0.95,Amazon,Mastercard,Cancelled
SO-2025-10007,8,09/22/2025,2025-09-26,Customer 7,GA,Northeast,SKU7,Product 7,Apparel,2,$18.79,$2.82,$8.42,$1.22,$2.25,Instagram,Visa,Returned
SO-2025-10008,9,09/21/2025,2025-09-25,Customer 8,PA,Midwest,SKU8,Product 8,Pets,3,$25.6,$0.0,$11.56,$7.55,$4.61,Amazon,PayPal,Shipped
SO-2025-10009,10,02/23/2025,2025-02-25,Customer 9,PA,Northeast,SKU9,Product 9,Baby,2,$61.09,$0.0,$36.28,$4.5,$7.33,Amazon,Visa,Shipped
SO-2025-10010,11,07/21/2025,2025-07-25,Customer 10,PA,West,SKU10,Product 10,Wellness,2,$93.4,$9.34,$54.58,$5.7,$11.21,Amazon,PayPal,Returned
SO-2025-10011,12,09/09/2025,2025-09-11,Customer 11,NY,Midwest,SKU11,Product 11,Wellness,1,$96.51,$0.0,$46.11,$5.4,$5.79,Website,PayPal,Returned
SO-2025-10012,13,10/07/2025,2025-10-08,Customer 12,PA,South,SKU12,Product 12,Pets,2,$96.87,$14.53,$49.26,$2.96,$11.62,Instagram,Visa,Shipped
SO-2025-10013,14,10/28/2025,2025-11-01,Customer 13,CA,West,SKU13,Product 13,Wellness,1,$11.41,$0.0,$6.33,$2.93,$0.68,Instagram,PayPal,Cancelled
SO-2025-10014,15,03/04/2025,2025-03-05,Customer 14,FL,Midwest,SKU14,Product 14,Home & Kitchen,3,$27.9,$4.18,$15.23,$6.06,$5.02,Website,Visa,Returned
SO-2025-10015,16,08/19/2025,2025-08-23,Customer 15,OH,Midwest,SKU15,Product 15,Home & Kitchen,2,$20.43,$2.04,$11.65,$3.31,$2.45,Website,PayPal,Cancelled
SO-2025-10016,17,02/17/2025,2025-02-21,Customer 16,IL,South,SKU16,Product 16,Apparel,3,$37.99,$5.7,$20.26,$6.38,$6.84,Amazon,PayPal,Returned
SO-2025-10017,18,02/04/2025,2025-02-05,Customer 17,NY,Midwest,SKU17,Product 17,Baby,1,$44.46,$4.45,$24.13,$7.22,$2.67,Website,PayPal,Cancelled
SO-2025-10018,19,09/12/2025,2025-09-14,Customer 18,WA,Midwest,SKU18,Product 18,Pets,2,$54.44,$0.0,$29.51,$0.25,$6.53,Amazon,PayPal,Returned
SO-2025-10019,20,06/28/2025,2025-07-02,Customer 19,IL,South,SKU19,Product 19,Baby,3,$90.62,$0.0,$41.95,$6.96,$16.31,Instagram,Mastercard,Shipped
SO-2025-10020,21,08/19/2025,2025-08-23,Customer 20,NJ,Northeast,SKU20,Product 20,Baby,1,$58.59,$0.0,$26.12,$5.99,$3.52,Instagram,Visa,Cancelled
SO-2025-10021,22,08/31/2025,2025-09-01,Customer 21,OH,Northeast,SKU21,Product 21,Apparel,2,$89.24,$4.46,$50.12,$1.05,$10.71,Amazon,PayPal,Returned
SO-2025-10022,23,10/11/2025,2025-10-14,Customer 22,WA,Midwest,SKU22,Product 22,Pets,4,$29.66,$4.45,$17.16,$3.24,$7.12,Website,PayPal,Cancelled
SO-2025-10023,24,12/14/2025,2025-12-17,Customer 23,PA,Midwest,SKU23,Product 23,Wellness,1,$38.62,$0.0,$17.55,$4.27,$2.32,Website,Mastercard,Returned
SO-2025-10024,25,04/26/2025,2025-04-29,Customer 24,NY,West,SKU24,Product 24,Home & Kitchen,1,$87.47,$8.75,$37.87,$4.17,$5.25,Instagram,PayPal,Returned
SO-2025-10025,26,06/14/2025,2025-06-17,Customer 25,WA,South,SKU25,Product 25,Pets,1,$20.79,$3.12,$9.33,$3.23,$1.25,Website,PayPal,Returned
SO-2025-10026,27,04/06/2025,2025-04-08,Customer 26,WA,South,SKU26,Product 26,Baby,4,$73.27,$0.0,$30.26,$9.62,$17.58,Amazon,Visa,Cancelled
SO-2025-10027,28,10/22/2025,2025-10-23,Customer 27,WA,Northeast,SKU27,Product 27,Pets,2,$74.1,$0.0,$33.86,$2.67,$8.89,Amazon,Mastercard,Shipped
SO-2025-10028,29,01/02/2025,2025-01-03,Customer 28,PA,Midwest,SKU28,Product 28,Wellness,2,$46.99,$4.7,$21.41,$6.34,$5.64,Website,Visa,Shipped
SO-2025-10029,30,05/06/2025,2025-05-10,Customer 29,AZ,Northeast,SKU29,Product 29,Home & Kitchen,2,$57.78,$2.89,$34.5,$5.93,$6.93,Instagram,Mastercard,Shipped
SO-2025-10030,31,07/22/2025,2025-07-23,Customer 30,WA,South,SKU30,Product 30,Baby,4,$31.39,$3.14,$17.6,$6.32,$7.53,Instagram,Mastercard,Cancelled
SO-2025-10031,32,07/17/2025,2025-07-18,Customer 31,NY,Midwest,SKU31,Product 31,Pets,2,$58.22,$8.73,$32.58,$3.21,$6.99,Instagram,Mastercard,Shipped
SO-2025-10032,33,11/22/2025,2025-11-26,Customer 32,WA,South,SKU32,Product 32,Wellness,4,$13.67,$2.05,$6.36,$0.17,$3.28,Amazon,PayPal,Cancelled
SO-2025-10033,34,05/27/2025,2025-05-31,Customer 33,IL,West,SKU33,Product 33,Pets,4,$68.07,$10.21,$40.03,$3.87,$16.34,Amazon,Visa,Shipped
SO-2025-10034,35,12/04/2025,2025-12-06,Customer 34,FL,Northeast,SKU34,Product 34,Wellness,4,$22.38,$3.36,$12.24,$9.25,$5.37,Website,PayPal,Cancelled
SO-2025-10035,36,10/25/2025,2025-10-26,Customer 35,FL,South,SKU35,Product 35,Home & Kitchen,3,$30.57,$4.59,$17.22,$5.17,$5.5,Website,PayPal,Cancelled
SO-2025-10036,37,01/02/2025,2025-01-06,Customer 36,NJ,South,SKU36,Product 36,Home & Kitchen,1,$18.38,$2.76,$9.4,$6.33,$1.1,Website,Mastercard,Shipped
SO-2025-10037,38,01/09/2025,2025-01-13,Customer 37,WA,South,SKU37,Product 37,Wellness,1,$41.43,$6.21,$23.59,$8.87,$2.49,Instagram,Mastercard,Shipped
SO-2025-10038,39,04/30/2025,2025-05-04,Customer 38,WA,South,SKU38,Product 38,Pets,1,$67.78,$6.78,$39.8,$8.99,$4.07,Instagram,Mastercard,Shipped
SO-2025-10039,40,12/06/2025,2025-12-07,Customer 39,CA,West,SKU39,Product 39,Baby,2,$10.83,$0.54,$6.37,$0.05,$1.3,Website,Visa,Cancelled
SO-2025-10040,41,12/04/2025,2025-12-08,Customer 40,OH,Midwest,SKU40,Product 40,Apparel,2,$72.27,$10.84,$43.28,$7.12,$8.67,Amazon,Mastercard,Cancelled
SO-2025-10041,42,10/16/2025,2025-10-20,Customer 41,NJ,Northeast,SKU41,Product 41,Home & Kitchen,2,$39.29,$5.89,$18.6,$8.49,$4.71,Amazon,PayPal,Returned
SO-2025-10042,43,05/08/2025,2025-05-11,Customer 42,PA,South,SKU42,Product 42,Baby,1,$58.83,$5.88,$27.86,$2.5,$3.53,Website,PayPal,Returned
SO-2025-10043,44,06/07/2025,2025-06-10,Customer 43,NY,West,SKU43,Product 43,Baby,2,$98.1,$9.81,$56.74,$4.34,$11.77,Amazon,Mastercard,Shipped
SO-2025-10044,45,10/04/2025,2025-10-05,Customer 44,PA,West,SKU44,Product 44,Pets,2,$68.06,$6.81,$33.93,$2.3,$8.17,Website,Visa,Cancelled
SO-2025-10045,46,10/31/2025,2025-11-01,Customer 45,WA,Northeast,SKU45,Product 45,Home & Kitchen,3,$61.48,$9.22,$32.53,$9.95,$11.07,Website,Visa,Returned
SO-2025-10046,47,06/07/2025,2025-06-08,Customer 46,CA,West,SKU46,Product 46,Baby,1,$35.16,$1.76,$16.67,$9.53,$2.11,Amazon,Visa,Shipped
SO-2025-10047,48,12/15/2025,2025-12-16,Customer 47,OH,Northeast,SKU47,Product 47,Apparel,1,$59.75,$5.98,$35.42,$0.75,$3.58,Amazon,Mastercard,Returned
SO-2025-10048,49,09/10/2025,2025-09-14,Customer 48,OH,West,SKU48,Product 48,Baby,1,$27.18,$0.0,$12.59,$3.73,$1.63,Website,Mastercard,Shipped
SO-2025-10049,50,08/11/2025,2025-08-13,Customer 49,NJ,Northeast,SKU49,Product 49,Wellness,2,$72.64,$10.9,$30.08,$6.15,$8.72,Website,Visa,Cancelled
SO-2025-10050,51,12/08/2025,2025-12-10,Customer 50,CA,South,SKU0,Product 0,Home & Kitchen,3,$22.61,$2.26,$10.38,$7.41,$4.07,Instagram,Visa,Shipped
SO-2025-10051,52,10/26/2025,2025-10-28,Customer 51,PA,Northeast,SKU1,Product 1,Baby,2,$42.35,$0.0,$19.45,$8.1,$5.08,Amazon,Visa,Cancelled
SO-2025-10052,53,01/13/2025,2025-01-17,Customer 52,FL,Northeast,SKU2,Product 2,Pets,4,$56.02,$0.0,$29.44,$6.5,$13.44,Website,Mastercard,Cancelled
SO-2025-10053,54,05/22/2025,2025-05-24,Customer 53,AZ,Midwest,SKU3,Product 3,Wellness,4,$89.8,$8.98,$42.67,$4.38,$21.55,Website,PayPal,Cancelled
SO-2025-10054,55,12/08/2025,2025-12-10,Customer 54,IL,South,SKU4,Product 4,Wellness,3,$51.9,$5.19,$30.95,$5.91,$9.34,Amazon,Visa,Cancelled
SO-2025-10055,56,12/08/2025,2025-12-11,Customer 55,GA,West,SKU5,Product 5,Wellness,1,$13.36,$0.67,$6.15,$1.27,$0.8,Website,Visa,Returned
SO-2025-10056,57,09/21/2025,2025-09-25,Customer 56,AZ,Northeast,SKU6,Product 6,Home & Kitchen,1,$34.44,$5.17,$18.07,$8.42,$2.07,Instagram,Visa,Cancelled
SO-2025-10057,58,12/16/2025,2025-12-17,Customer 57,GA,South,SKU7,Product 7,Wellness,3,$72.96,$10.94,$39.78,$9.7,$13.13,Website,Visa,Returned
SO-2025-10058,59,04/16/2025,2025-04-20,Customer 58,GA,South,SKU8,Product 8,Apparel,2,$13.7,$2.05,$6.22,$7.44,$1.64,Instagram,PayPal,Returned
SO-2025-10059,60,12/12/2025,2025-12-13,Customer 59,AZ,Northeast,SKU9,Product 9,Pets,1,$26.59,$1.33,$15.08,$6.88,$1.6,Amazon,PayPal,Shipped
SO-2025-10060,61,05/09/2025,2025-05-11,Customer 60,NY,Midwest,SKU10,Product 10,Home & Kitchen,2,$92.37,$9.24,$41.57,$0.94,$11.08,Website,PayPal,Cancelled
SO-2025-10061,62,03/30/2025,2025-04-02,Customer 61,NY,Midwest,SKU11,Product 11,Wellness,4,$94.12,$0.0,$55.62,$6.57,$22.59,Instagram,Visa,Cancelled
SO-2025-10062,63,03/10/2025,2025-03-14,Customer 62,IL,South,SKU12,Product 12,Wellness,2,$75.7,$7.57,$34.03,$1.59,$9.08,Instagram,Mastercard,Returned
SO-2025-10063,64,03/27/2025,2025-03-28,Customer 63,NJ,Northeast,SKU13,Product 13,Apparel,1,$40.77,$6.12,$16.68,$3.11,$2.45,Amazon,Visa,Shipped
SO-2025-10064,65,07/23/2025,2025-07-27,Customer 64,IL,South,SKU14,Product 14,Wellness,4,$18.81,$2.82,$10.56,$1.73,$4.51,Website,PayPal,Returned
SO-2025-10065,66,08/10/2025,2025-08-14,Customer 65,WA,West,SKU15,Product 15,Pets,1,$45.87,$2.29,$27.06,$0.45,$2.75,Website,Visa,Shipped
SO-2025-10066,67,08/11/2025,2025-08-15,Customer 66,NY,Northeast,SKU16,Product 16,Wellness,2,$66.33,$3.32,$33.18,$6.59,$7.96,Instagram,PayPal,Shipped
SO-2025-10067,68,01/04/2025,2025-01-08,Customer 67,OH,South,SKU17,Product 17,Home & Kitchen,4,$16.35,$1.64,$9.63,$5.86,$3.92,Amazon,Mastercard,Shipped
SO-2025-10068,69,12/06/2025,2025-12-07,Customer 68,IL,South,SKU18,Product 18,Baby,4,$70.95,$7.1,$37.51,$8.11,$17.03,Instagram,Visa,Returned
SO-2025-10069,70,04/11/2025,2025-04-14,Customer 69,WA,West,SKU19,Product 19,Pets,4,$44.75,$0.0,$23.73,$1.96,$10.74,Instagram,Visa,Shipped
SO-2025-10070,71,01/12/2025,2025-01-15,Customer 70,NY,South,SKU20,Product 20,Apparel,3,$43.95,$0.0,$18.41,$3.37,$7.91,Website,Visa,Cancelled
SO-2025-10071,72,03/31/2025,2025-04-02,Customer 71,IL,West,SKU21,Product 21,Baby,4,$44.69,$2.23,$18.08,$2.61,$10.73,Amazon,Visa,Cancelled
SO-2025-10072,73,07/15/2025,2025-07-19,Customer 72,PA,West,SKU22,Product 22,Home & Kitchen,2,$72.71,$0.0,$42.7,$7.35,$8.73,Amazon,Visa,Shipped
SO-2025-10073,74,10/04/2025,2025-10-08,Customer 73,CA,Midwest,SKU23,Product 23,Wellness,1,$35.38,$1.77,$17.15,$8.07,$2.12,Website,Visa,Shipped
SO-2025-10074,75,06/26/2025,2025-06-30,Customer 74,FL,West,SKU24,Product 24,Wellness,3,$47.14,$2.36,$21.21,$3.41,$8.49,Amazon,Visa,Returned
SO-2025-10075,76,07/09/2025,2025-07-12,Customer 75,IL,West,SKU25,Product 25,Pets,4,$87.26,$0.0,$46.77,$7.55,$20.94,Amazon,Visa,Shipped
SO-2025-10076,77,12/27/2025,2025-12-28,Customer 76,GA,South,SKU26,Product 26,Pets,2,$91.23,$4.56,$45.55,$3.2,$10.95,Amazon,Visa,Shipped
SO-2025-10077,78,07/06/2025,2025-07-09,Customer 77,AZ,West,SKU27,Product 27,Wellness,3,$45.03,$6.75,$26.64,$0.91,$8.11,Instagram,Mastercard,Returned
SO-2025-10078,79,10/11/2025,2025-10-14,Customer 78,AZ,Northeast,SKU28,Product 28,Apparel,2,$70.91,$10.64,$36.5,$0.83,$8.51,Instagram,Visa,Returned
SO-2025-10079,80,03/10/2025,2025-03-14,Customer 79,NJ,West,SKU29,Product 29,Home & Kitchen,3,$64.22,$9.63,$34.33,$9.46,$11.56,Instagram,PayPal,Cancelled
SO-2025-10080,81,05/24/2025,2025-05-27,Customer 80,FL,Midwest,SKU30,Product 30,Apparel,1,$20.21,$0.0,$10.08,$9.96,$1.21,Website,PayPal,Returned
SO-2025-10081,82,05/02/2025,2025-05-04,Customer 81,AZ,Midwest,SKU31,Product 31,Home & Kitchen,1,$76.33,$0.0,$35.89,$9.69,$4.58,Instagram,Mastercard,Cancelled
SO-2025-10082,83,01/09/2025,2025-01-12,Customer 82,GA,West,SKU32,Product 32,Wellness,2,$85.33,$0.0,$35.86,$4.26,$10.24,Amazon,PayPal,Returned
SO-2025-10083,84,06/17/2025,2025-06-18,Customer 83,WA,South,SKU33,Product 33,Baby,2,$45.7,$4.57,$24.74,$5.13,$5.48,Amazon,PayPal,Returned
SO-2025-10084,85,12/05/2025,2025-12-06,Customer 84,NY,Midwest,SKU34,Product 34,Apparel,4,$43.68,$0.0,$25.16,$9.47,$10.48,Instagram,Visa,Returned
